Rank,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
105,Jackson Paveletzke,OHIO,18,37.7,18.6,5.8,12.6,0.463,1,3.3,0.3,5.9,7.4,0.799,0.6,2.9,3.5,5.4,0.9,0,1.9,1.6
106,Amon Doerries,BUCK,18,32.9,18.6,7.1,12.6,0.564,1.2,2.8,0.412,3.2,4.2,0.773,1.7,3.1,4.8,1.4,0.8,0.4,2.5,2.8
107,Terrence Brown,U of U,18,31.3,18.6,7,15.3,0.458,0.9,2.6,0.362,3.7,4.8,0.759,0.4,2.2,2.7,3.7,0.9,0.1,2.9,1.4
108,Paulius Murauskas,STMRY,18,32.6,18.6,6.6,13.4,0.494,1.3,3.3,0.4,4,4.7,0.847,2.2,5.8,8,2.4,0.4,0.6,1.7,2.4
109,Isaiah Moses,EWASH,18,33.8,18.6,5.6,11.9,0.465,2.2,4.7,0.471,5.2,5.4,0.959,0.6,2.9,3.5,4.2,0.7,0.2,2.9,1.3
110,Travis Harper II,TNST,20,31.3,18.6,5.9,12.3,0.482,2.8,6.4,0.433,4,4.4,0.909,1,2.9,3.9,0.9,1,0.4,1.3,1.4
111,Landon Lewis,BRWN,13,33.5,18.5,7.8,13,0.598,0.2,0.5,0.429,2.8,4.9,0.563,3.2,5.2,8.3,2.2,0.9,0.8,2,2.9
112,Terry Anderson,HP,16,28.7,18.5,5.9,10.8,0.552,0.3,1.9,0.161,6.3,8.3,0.765,2.4,3.7,6.1,1.6,1.8,0.6,1.6,2.2
113,Jaylin Henderson,PORTL,18,38.7,18.5,6.5,15.5,0.419,1.1,3.8,0.275,4.4,5.9,0.755,0.8,3.6,4.4,5.9,1.3,0.2,3.2,1.7
114,Jake Fiegen,COR,14,28.7,18.5,6.6,11.7,0.567,2.3,5.5,0.416,2.9,4.1,0.719,1.4,3.6,5.1,2.5,1.1,0.4,0.9,2.4
115,Jelani Hamilton,GAST,18,34.4,18.5,5.2,15.2,0.344,2.1,6.3,0.325,6,6.9,0.871,0.9,4.4,5.4,2.3,2.3,0.3,1.9,2.7
116,Derrian Ford,TEM,17,36.4,18.5,5.7,13.6,0.42,1.6,4.2,0.375,5.5,6.3,0.869,0.8,3.3,4.1,2.2,0.6,0.1,1.6,1.8
117,Jemel Jones,NMSU,20,28.7,18.5,6.1,13.9,0.437,1.7,4.2,0.393,4.7,5.5,0.855,0.8,3.3,4.1,2.7,1.3,0.6,1.5,1.8
118,Rowan Brumbaugh,TULAN,18,36.3,18.4,5.8,13,0.449,1.7,5.3,0.316,5.1,6.6,0.773,0.8,4.2,5,3.9,1.3,0.1,2.4,2
119,Robert Hinton,HAR,14,35.2,18.4,7.2,13.7,0.526,1.2,3.3,0.37,2.8,3.5,0.796,1.1,3.5,4.6,2.3,1.4,0.2,2.1,2.5
120,"Mark Mitchell, Jr.",MZZOU,18,35.6,18.4,6.1,11.6,0.522,0.6,1.4,0.423,5.7,8.7,0.654,1.5,3.3,4.8,4.2,0.6,0.5,1.6,1.4
121,Bernie Blunt III,MC,18,31.3,18.4,5.5,14.1,0.39,2,6.3,0.316,5.4,5.9,0.915,0.8,2.4,3.2,2.4,1.4,0,1.2,1.4
122,David Green,TULSA,18,28.8,18.3,6.4,11.9,0.542,2.2,4.6,0.488,3.2,4.7,0.671,1,3.5,4.5,1.7,0.4,0.6,1.4,2.6
123,John Blackwell,UWISC,20,34.6,18.3,5.6,13.4,0.418,2.8,7.5,0.369,4.3,4.9,0.887,1.2,3.7,4.9,2.5,1.1,0.2,1.7,2.5
124,Cris Carroll,YSU,20,32.4,18.3,5.9,12.6,0.464,2.8,7.6,0.362,3.8,4.9,0.784,0.7,5,5.7,1.9,1.2,0.5,3.4,2.3
125,William Kermoury,NEU,14,31.4,18.2,6.6,13.7,0.479,3.6,8.6,0.425,1.4,2.1,0.69,0.7,3.3,4,2.9,1.3,0,1.4,2.3
126,Aaron Nkrumah,TNST,20,32.1,18.2,6,13.5,0.442,1.5,4,0.363,4.9,6,0.808,1.1,4.5,5.6,2.9,2.7,0.5,2.3,2
127,Tai'reon Joseph,PVAMU,10,35.2,18.2,6.1,15.9,0.384,2.6,8.5,0.306,3.4,5,0.68,0.3,1.4,1.7,1,1.6,0,2.2,1.8
128,Amir Lindsey,ALBNY,16,39.4,18.2,6.3,14.3,0.439,1.8,5.7,0.319,3.9,4.5,0.861,0.4,3.3,3.6,5.3,1.2,0,1.9,2.4
129,Michael McNair,BSTN,18,38.6,18.2,6.3,12.9,0.487,3.2,7.6,0.419,2.4,3.1,0.786,0.8,4.8,5.6,2.2,1.1,0.6,1.3,1.3
130,Cameron Carr,BAYL,18,34.8,18.2,6.2,12.4,0.498,2.4,5.9,0.406,3.4,4.4,0.785,0.4,5,5.4,3,1.1,1,2.7,2.1
131,Brody Robinson,OAKL,20,36.9,18.2,4.3,10.7,0.397,2.3,6.5,0.346,7.4,8.9,0.836,0.4,2.6,2.9,7.2,1.3,0,2.7,1.9
132,Jonah Pierce,PRSBY,16,34.8,18.1,7.1,12.8,0.559,0,0,0,3.9,6.8,0.574,2.6,7.8,10.4,1.1,0.8,1.3,2.9,2.6
133,"Christian Anderson, Jr.",TXTCH,17,39.2,18.1,6.1,13.1,0.466,3.5,8.2,0.421,2.4,2.9,0.82,0.5,3.3,3.8,8.3,0.8,0.5,3.8,2.5
134,Ja'Kobi Gillespie,TENN,18,36.5,18.1,5.9,15.6,0.381,2.7,8.5,0.32,3.5,4.4,0.788,0.6,2.4,2.9,5.4,2.7,0.2,2.1,2.2
135,Cam McDowell,TARST,10,30,18.1,6.3,13.8,0.457,1.2,3.2,0.375,4.3,5.1,0.843,1,2.3,3.3,1.7,1.5,0.3,2.3,1.8
136,T.J. Johnson,VMI,18,37.9,18.1,5.4,13.4,0.405,3.8,10,0.383,3.3,4.3,0.769,1.3,5.4,6.8,1.2,1.6,0.2,1.3,1.6
137,Malik Reneau,UMFL,18,30.2,18.1,6.2,11.6,0.531,0.8,2.1,0.378,4.9,6.4,0.774,2.1,4.4,6.6,1.9,1.1,0.4,3.1,2.6
138,Tariq Francis,RUTG,20,27.8,18.1,5.9,13.9,0.424,1.5,4,0.363,4.8,5.2,0.932,0.3,1.9,2.1,3.1,0.9,0.1,0.9,2.4
139,Christian Bliss,DEL,20,40.3,18,5.3,11.7,0.449,2.1,5.2,0.398,5.5,6.5,0.845,0.8,4,4.8,5.7,1.8,0,2.9,2.6
140,Tre Donaldson,UMFL,18,35.9,18,6.6,13.9,0.47,1.7,4.7,0.369,3.2,4,0.792,0.4,3.2,3.6,5.2,1.2,0.2,2.3,1.7
141,Delrecco Gillespie,KENT,18,32.4,17.9,5.9,12.4,0.475,0.6,2,0.278,5.6,6.9,0.808,3.1,8.2,11.2,1.9,0.8,1.1,2.7,2.8
142,Isaiah Johnson,COLO,18,33.5,17.9,5.5,11.6,0.474,2,5.4,0.371,4.9,5.8,0.848,0.6,2.2,2.8,3.4,1,0.1,1.9,1.6
143,K.C. Shaw,ODU,18,32.3,17.9,7.1,14.2,0.5,0.1,0.7,0.083,3.7,5.1,0.725,0.6,3.8,4.3,2.2,0.5,0.3,2.3,1.8
144,Anquan Hill,HEART,17,34.1,17.9,6.1,13.2,0.458,1.6,4.7,0.35,4.1,5.4,0.769,2,4.1,6.1,1.1,0.5,1.2,1.8,1.8
145,Joe Sayler,SDKSU,16,35.4,17.9,6.4,13.8,0.468,2.6,5.4,0.471,2.4,3,0.813,0.3,3.7,3.9,2.1,0.3,0.2,2,1.6
146,Cooper Noard,COR,14,28.3,17.9,6.2,12.4,0.503,3,7.7,0.389,2.4,2.6,0.944,0.3,2.9,3.1,2.1,0.2,0.4,1.8,1.7
147,Quion Williams,UAPB,18,36.9,17.8,6.1,14.1,0.433,1,3,0.333,4.6,6.3,0.735,2.3,6,8.3,5,1.4,0.9,3.3,2
148,"Dennis Parker, Jr.",RADF,16,31.4,17.8,5.9,12,0.49,1.6,4.7,0.347,4.4,7.1,0.628,1.6,4.4,6,1.3,1.3,0.6,2.5,2.2
149,Tarence Guinyard,DUQ,17,35.6,17.8,5.8,13.4,0.436,2.4,7.3,0.331,3.7,5.2,0.708,0.6,3,3.6,4.4,1.4,0,2.4,2.3
150,Keith Palek III,MZZST,20,34.2,17.8,5.6,13.4,0.418,1.1,4.1,0.256,5.5,7.2,0.769,1.6,4.5,6,3.6,1,0.4,2.9,2.2
151,"Keon Thompson, Jr.",SFA,22,29.3,17.7,6.2,12.6,0.489,0.6,2.3,0.28,4.7,7,0.675,1,3.3,4.3,4.3,1,0.1,2.7,2.4
152,"Corey Camper, Jr.",UNR,18,34.1,17.7,6.3,13.4,0.467,2.5,5.8,0.433,2.7,3.4,0.774,1.1,3.8,4.8,2.4,1.3,0.3,1.4,1.4
153,Joel Foxwell,UP,18,36.7,17.7,6.1,15.6,0.389,2.4,7.3,0.326,3.2,3.9,0.829,0.7,3.2,3.9,6.1,1.8,0.1,3.1,1.6
154,Moe Odum,ASU,18,34.6,17.7,5.7,13.3,0.431,3.1,7.6,0.412,3.2,4.1,0.781,0.4,2.3,2.7,5.7,1.3,0.2,3.2,2.5
155,Kenny Noland,COM,14,36.5,17.7,6.6,14.8,0.444,2.5,7.1,0.354,2.1,2.4,0.853,0.9,3.1,3.9,3.4,1.9,0,2.6,1.5
156,Sebastian Robinson,NJIT,16,31.9,17.7,6.7,14.3,0.469,0.4,1.8,0.214,3.9,5.6,0.708,0.4,3.1,3.5,2.3,1.3,0.1,1.9,2.2
157,Corey Stephenson,FIU,19,33.2,17.7,5.8,13.8,0.424,2.2,5.8,0.369,3.8,5.3,0.73,1.9,4.1,6,1.3,1.3,0.5,2.2,2.4
158,"JeShawn Stevenson, Jr.",UNT,18,32.2,17.7,5.9,15.2,0.392,2.3,7.4,0.306,3.5,4.1,0.851,0.7,3.1,3.8,1.8,2.3,0.4,1.7,1.2
159,Fred Payne,BOS,18,34.9,17.7,6.7,16.8,0.396,2.1,7.2,0.295,2.2,2.8,0.8,0.5,3.9,4.4,2.6,1.3,0.1,1.4,1.7
160,Alex Wilkins,FRMN,18,31.3,17.7,6.2,13.9,0.444,1.8,5.6,0.317,3.6,4.3,0.821,0.2,1.7,1.8,4.9,0.9,0.1,3.9,3.1
161,D.J. Hall,TXST,18,31.5,17.6,6.7,12.3,0.543,0.2,0.7,0.308,4.1,5.2,0.785,2.2,5.7,7.8,2.2,1.3,0.3,1.9,2.5
162,Cliff Davis,JMU,18,33.2,17.6,5.7,13.1,0.438,3.5,8.6,0.409,2.7,3.2,0.842,0.4,3.1,3.5,1.6,1.2,0.1,0.9,1.5
163,Darryl Simmons II,STBN,18,37.1,17.6,6.5,14,0.464,3.1,6.8,0.455,1.5,1.7,0.871,0.2,1.9,2.1,3,0.7,0,1.4,2.3
164,"Jeremy Fears, Jr.",MCHST,20,32.7,17.6,5.1,11.2,0.451,0.9,3.3,0.273,6.6,7.4,0.898,0.4,1.6,2,8.8,1.2,0.1,2.3,2.4
165,Jaden Henley,GCU,20,32.4,17.6,6.1,13.1,0.467,1.2,4,0.288,4.3,6,0.708,0.6,5.7,6.3,3.3,1.4,0.3,2.8,2.1
